"","year","country_code","code_2","country","region","eu_member","cofog_ggtot"
"1","2008","BEL","BE","Belgium","Continental","EU",50.8
"2","2008","BGR","BG","Bulgaria","Eastern","EU",37.1
"3","2008","CZE","CZ","Czech Republic","Eastern","EU",40.6
"4","2008","EST","EE","Estonia","Eastern","EU",39.4
"5","2008","IRL","IE","Ireland","Anglo-Saxon","EU",41.8
"6","2008","GRC","GR","Greece","Southern","EU",50.8
"7","2008","ESP","ES","Spain","Southern","EU",41.4
"8","2008","FRA","FR","France","Continental","EU",53.3
"9","2008","HRV","HR","Croatia","Eastern","EU",45.8
"10","2008","ITA","IT","Italy","Southern","EU",47.8
"11","2008","CYP","CY","Cyprus","Southern","EU",38.4
"12","2008","LVA","LV","Latvia","Eastern","EU",37.7
"13","2008","LTU","LT","Lithuania","Eastern","EU",38.1
"14","2008","LUX","LU","Luxembourg","Continental","EU",39.7
"15","2008","HUN","HU","Hungary","Eastern","EU",48.8
"16","2008","AUT","AT","Austria","Continental","EU",49.9
"17","2008","POL","PL","Poland","Eastern","EU",44
"18","2008","PRT","PT","Portugal","Southern","EU",45.3
"19","2008","ROU","RO","Romania","Eastern","EU",37.6
"20","2008","SVK","SK","Slovak Republic","Eastern","EU",37
"21","2008","FIN","FI","Finland","Nordic","EU",47.9
"22","2008","ISL","IS","Iceland","Nordic","Non-EU",43.5
"23","2008","CHE","CH","Switzerland","Continental","Non-EU",31.3
"24","2008","GBR","GB","United Kingdom","Anglo-Saxon","EU",44.3
"25","2010","BEL","BE","Belgium","Continental","EU",53.9
"26","2010","BGR","BG","Bulgaria","Eastern","EU",36.4
"27","2010","CZE","CZ","Czech Republic","Eastern","EU",43.5
"28","2010","EST","EE","Estonia","Eastern","EU",39.9
"29","2010","IRL","IE","Ireland","Anglo-Saxon","EU",65.1
"30","2010","GRC","GR","Greece","Southern","EU",52.5
"31","2010","ESP","ES","Spain","Southern","EU",46
"32","2010","FRA","FR","France","Continental","EU",56.9
"33","2010","HRV","HR","Croatia","Eastern","EU",48.5
"34","2010","ITA","IT","Italy","Southern","EU",49.9
"35","2010","CYP","CY","Cyprus","Southern","EU",41.8
"36","2010","LVA","LV","Latvia","Eastern","EU",45.3
"37","2010","LTU","LT","Lithuania","Eastern","EU",42.5
"38","2010","LUX","LU","Luxembourg","Continental","EU",44.1
"39","2010","HUN","HU","Hungary","Eastern","EU",49.2
"40","2010","AUT","AT","Austria","Continental","EU",52.8
"41","2010","POL","PL","Poland","Eastern","EU",45.8
"42","2010","PRT","PT","Portugal","Southern","EU",51.9
"43","2010","ROU","RO","Romania","Eastern","EU",40
"44","2010","SVK","SK","Slovak Republic","Eastern","EU",42.2
"45","2010","FIN","FI","Finland","Nordic","EU",53.9
"46","2010","ISL","IS","Iceland","Nordic","Non-EU",51.9
"47","2010","CHE","CH","Switzerland","Continental","Non-EU",33
"48","2010","GBR","GB","United Kingdom","Anglo-Saxon","EU",47.4
"49","2012","BEL","BE","Belgium","Continental","EU",56.5
"50","2012","BGR","BG","Bulgaria","Eastern","EU",34.4
"51","2012","CZE","CZ","Czech Republic","Eastern","EU",44.5
"52","2012","EST","EE","Estonia","Eastern","EU",39
"53","2012","IRL","IE","Ireland","Anglo-Saxon","EU",42.1
"54","2012","GRC","GR","Greece","Southern","EU",55.8
"55","2012","ESP","ES","Spain","Southern","EU",48.7
"56","2012","FRA","FR","France","Continental","EU",57.1
"57","2012","HRV","HR","Croatia","Eastern","EU",48.3
"58","2012","ITA","IT","Italy","Southern","EU",50.6
"59","2012","CYP","CY","Cyprus","Southern","EU",42
"60","2012","LVA","LV","Latvia","Eastern","EU",37.9
"61","2012","LTU","LT","Lithuania","Eastern","EU",36.2
"62","2012","LUX","LU","Luxembourg","Continental","EU",44.1
"63","2012","HUN","HU","Hungary","Eastern","EU",49.4
"64","2012","AUT","AT","Austria","Continental","EU",51.2
"65","2012","POL","PL","Poland","Eastern","EU",42.9
"66","2012","PRT","PT","Portugal","Southern","EU",48.9
"67","2012","ROU","RO","Romania","Eastern","EU",37.3
"68","2012","SVK","SK","Slovak Republic","Eastern","EU",41
"69","2012","FIN","FI","Finland","Nordic","EU",55.4
"70","2012","ISL","IS","Iceland","Nordic","Non-EU",43.8
"71","2012","CHE","CH","Switzerland","Continental","Non-EU",33.2
"72","2012","GBR","GB","United Kingdom","Anglo-Saxon","EU",45.6
"73","2014","BEL","BE","Belgium","Continental","EU",55.6
"74","2014","BGR","BG","Bulgaria","Eastern","EU",43.3
"75","2014","CZE","CZ","Czech Republic","Eastern","EU",42.4
"76","2014","EST","EE","Estonia","Eastern","EU",37.5
"77","2014","IRL","IE","Ireland","Anglo-Saxon","EU",37.5
"78","2014","GRC","GR","Greece","Southern","EU",50.3
"79","2014","ESP","ES","Spain","Southern","EU",45.1
"80","2014","FRA","FR","France","Continental","EU",57.2
"81","2014","HRV","HR","Croatia","Eastern","EU",48.7
"82","2014","ITA","IT","Italy","Southern","EU",50.9
"83","2014","CYP","CY","Cyprus","Southern","EU",49.4
"84","2014","LVA","LV","Latvia","Eastern","EU",38
"85","2014","LTU","LT","Lithuania","Eastern","EU",34.7
"86","2014","LUX","LU","Luxembourg","Continental","EU",42
"87","2014","HUN","HU","Hungary","Eastern","EU",50.2
"88","2014","AUT","AT","Austria","Continental","EU",52.4
"89","2014","POL","PL","Poland","Eastern","EU",42.4
"90","2014","PRT","PT","Portugal","Southern","EU",51.7
"91","2014","ROU","RO","Romania","Eastern","EU",35.3
"92","2014","SVK","SK","Slovak Republic","Eastern","EU",43.3
"93","2014","FIN","FI","Finland","Nordic","EU",57.3
"94","2014","ISL","IS","Iceland","Nordic","Non-EU",43.8
"95","2014","CHE","CH","Switzerland","Continental","Non-EU",33.8
"96","2014","GBR","GB","United Kingdom","Anglo-Saxon","EU",43.1
"97","2016","BEL","BE","Belgium","Continental","EU",53.1
"98","2016","BGR","BG","Bulgaria","Eastern","EU",35
"99","2016","CZE","CZ","Czech Republic","Eastern","EU",39.5
"100","2016","EST","EE","Estonia","Eastern","EU",39.5
"101","2016","IRL","IE","Ireland","Anglo-Saxon","EU",27.7
"102","2016","GRC","GR","Greece","Southern","EU",49
"103","2016","ESP","ES","Spain","Southern","EU",42.4
"104","2016","FRA","FR","France","Continental","EU",56.6
"105","2016","HRV","HR","Croatia","Eastern","EU",47.6
"106","2016","ITA","IT","Italy","Southern","EU",49
"107","2016","CYP","CY","Cyprus","Southern","EU",37.6
"108","2016","LVA","LV","Latvia","Eastern","EU",36.9
"109","2016","LTU","LT","Lithuania","Eastern","EU",34.2
"110","2016","LUX","LU","Luxembourg","Continental","EU",40.7
"111","2016","HUN","HU","Hungary","Eastern","EU",47.2
"112","2016","AUT","AT","Austria","Continental","EU",50.1
"113","2016","POL","PL","Poland","Eastern","EU",41.1
"114","2016","PRT","PT","Portugal","Southern","EU",44.8
"115","2016","ROU","RO","Romania","Eastern","EU",34.5
"116","2016","SVK","SK","Slovak Republic","Eastern","EU",42.7
"117","2016","FIN","FI","Finland","Nordic","EU",55.6
"118","2016","ISL","IS","Iceland","Nordic","Non-EU",44.5
"119","2016","CHE","CH","Switzerland","Continental","Non-EU",34.2
"120","2016","GBR","GB","United Kingdom","Anglo-Saxon","EU",41.5
"121","2018","BEL","BE","Belgium","Continental","EU",52.1
"122","2018","BGR","BG","Bulgaria","Eastern","EU",36.5
"123","2018","CZE","CZ","Czech Republic","Eastern","EU",40.7
"124","2018","EST","EE","Estonia","Eastern","EU",39.1
"125","2018","IRL","IE","Ireland","Anglo-Saxon","EU",25.4
"126","2018","GRC","GR","Greece","Southern","EU",47
"127","2018","ESP","ES","Spain","Southern","EU",41.7
"128","2018","FRA","FR","France","Continental","EU",56
"129","2018","HRV","HR","Croatia","Eastern","EU",46
"130","2018","ITA","IT","Italy","Southern","EU",48.4
"131","2018","CYP","CY","Cyprus","Southern","EU",43.6
"132","2018","LVA","LV","Latvia","Eastern","EU",38.5
"133","2018","LTU","LT","Lithuania","Eastern","EU",34
"134","2018","LUX","LU","Luxembourg","Continental","EU",41.9
"135","2018","HUN","HU","Hungary","Eastern","EU",46.7
"136","2018","AUT","AT","Austria","Continental","EU",48.7
"137","2018","POL","PL","Poland","Eastern","EU",41.6
"138","2018","PRT","PT","Portugal","Southern","EU",43.5
"139","2018","ROU","RO","Romania","Eastern","EU",34.9
"140","2018","SVK","SK","Slovak Republic","Eastern","EU",41.8
"141","2018","FIN","FI","Finland","Nordic","EU",53.1
"142","2018","ISL","IS","Iceland","Nordic","Non-EU",42
"143","2018","CHE","CH","Switzerland","Continental","Non-EU",33.7
"144","2018","GBR","GB","United Kingdom","Anglo-Saxon","EU",40.9
